Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	7/3/15	2015	7	27	207
6014	7/4/15	2015	7	27	104
6014	7/5/15	2015	7	27	197
6014	7/6/15	2015	7	28	118
6014	7/7/15	2015	7	28	118
6014	7/8/15	2015	7	28	150
6014	7/9/15	2015	7	28	143
6014	7/10/15	2015	7	28	235
6014	7/11/15	2015	7	28	198
6014	7/12/15	2015	7	28	173
6014	7/13/15	2015	8	29	121
6014	7/14/15	2015	8	29	122
6014	7/15/15	2015	8	29	162
6014	7/16/15	2015	8	29	178
6014	7/17/15	2015	8	29	245
6014	7/18/15	2015	8	29	213
6014	7/19/15	2015	8	29	165
6014	7/20/15	2015	8	30	116
6014	7/21/15	2015	8	30	114
6014	7/22/15	2015	8	30	139
6014	7/23/15	2015	8	30	164
6014	7/24/15	2015	8	30	256
6014	7/25/15	2015	8	30	190
6014	7/26/15	2015	8	30	171
6014	7/27/15	2015	8	31	136
6014	7/28/15	2015	8	31	120
6014	7/29/15	2015	8	31	161
6014	7/30/15	2015	8	31	150
6014	7/31/15	2015	8	31	233
6014	8/1/15	2015	8	31	190
6014	8/2/15	2015	8	31	186
6014	8/3/15	2015	8	32	131
6014	8/4/15	2015	8	32	129
6014	8/5/15	2015	8	32	125
6014	8/6/15	2015	8	32	168
6014	8/7/15	2015	8	32	272
6014	8/8/15	2015	8	32	203
6014	8/9/15	2015	8	32	157
6014	8/10/15	2015	9	33	119
6014	8/11/15	2015	9	33	142
6014	8/12/15	2015	9	33	151
6014	8/13/15	2015	9	33	151
6014	8/14/15	2015	9	33	272
6014	8/15/15	2015	9	33	214
6014	8/16/15	2015	9	33	174
6014	8/17/15	2015	9	34	100
6014	8/18/15	2015	9	34	118
6014	8/19/15	2015	9	34	148
6014	8/20/15	2015	9	34	155
6014	8/21/15	2015	9	34	243
6014	8/22/15	2015	9	34	246
6014	8/23/15	2015	9	34	157
6014	8/24/15	2015	9	35	111
6014	8/25/15	2015	9	35	106
6014	8/26/15	2015	9	35	167
6014	8/27/15	2015	9	35	155
6014	8/28/15	2015	9	35	250
6014	8/29/15	2015	9	35	201
6014	8/30/15	2015	9	35	146
6014	8/31/15	2015	9	36	89
6014	9/1/15	2015	9	36	107
6014	9/2/15	2015	9	36	127
6014	9/3/15	2015	9	36	185
6014	9/4/15	2015	9	36	239
6014	9/5/15	2015	9	36	192
6014	9/6/15	2015	9	36	135
6014	9/7/15	2015	10	37	157
6014	9/8/15	2015	10	37	102
6014	9/9/15	2015	10	37	123
6014	9/10/15	2015	10	37	176
6014	9/11/15	2015	10	37	251
6014	9/12/15	2015	10	37	211
6014	9/13/15	2015	10	37	162
6014	9/14/15	2015	10	38	98
6014	9/15/15	2015	10	38	106
6014	9/16/15	2015	10	38	128
6014	9/17/15	2015	10	38	217
6014	9/18/15	2015	10	38	237
